Designator,Mid X,Mid Y,Rotation,Layer
GNDP1,90.0,-30.0,0.0,top
GNDP2,210.0,-30.0,0.0,top
GNDP3,210.0,-150.0,0.0,top
GNDP4,90.0,-150.0,0.0,top
TP1,98.0,-30.0,0.0,top
TP10,142.0,-30.0,0.0,top
TP11,148.0,-30.0,0.0,top
TP12,152.0,-30.0,0.0,top
TP13,158.0,-30.0,0.0,top
TP14,162.0,-30.0,0.0,top
TP15,168.0,-30.0,0.0,top
TP16,172.0,-30.0,0.0,top
TP17,178.0,-30.0,0.0,top
TP18,182.0,-30.0,0.0,top
TP19,188.0,-30.0,0.0,top
TP2,102.0,-30.0,0.0,top
TP20,192.0,-30.0,0.0,top
TP21,198.0,-30.0,0.0,top
TP22,202.0,-30.0,0.0,top
TP23,210.0,-48.0,90.0,top
TP24,210.0,-52.0,90.0,top
TP25,210.0,-58.0,90.0,top
TP26,210.0,-62.0,90.0,top
TP27,210.0,-68.0,90.0,top
TP28,210.0,-72.0,90.0,top
TP29,210.0,-78.0,90.0,top
TP3,108.0,-30.0,0.0,top
TP30,210.0,-82.0,90.0,top
TP31,210.0,-88.0,90.0,top
TP32,210.0,-92.0,90.0,top
TP33,210.0,-98.0,90.0,top
TP34,210.0,-102.0,90.0,top
TP35,210.0,-108.0,90.0,top
TP36,210.0,-112.0,90.0,top
TP37,210.0,-118.0,90.0,top
TP38,210.0,-122.0,90.0,top
TP39,210.0,-128.0,90.0,top
TP4,112.0,-30.0,0.0,top
TP40,210.0,-132.0,90.0,top
TP41,202.0,-150.0,0.0,top
TP42,198.0,-150.0,0.0,top
TP43,192.0,-150.0,0.0,top
TP44,188.0,-150.0,0.0,top
TP45,182.0,-150.0,0.0,top
TP46,178.0,-150.0,0.0,top
TP47,172.0,-150.0,0.0,top
TP48,168.0,-150.0,0.0,top
TP49,162.0,-150.0,0.0,top
TP5,118.0,-30.0,0.0,top
TP50,158.0,-150.0,0.0,top
TP51,152.0,-150.0,0.0,top
TP52,148.0,-150.0,0.0,top
TP53,142.0,-150.0,0.0,top
TP54,138.0,-150.0,0.0,top
TP55,132.0,-150.0,0.0,top
TP56,128.0,-150.0,0.0,top
TP57,122.0,-150.0,0.0,top
TP58,118.0,-150.0,0.0,top
TP59,112.0,-150.0,0.0,top
TP6,122.0,-30.0,0.0,top
TP60,108.0,-150.0,0.0,top
TP61,90.0,-142.0,270.0,top
TP62,90.0,-138.0,270.0,top
TP63,90.0,-132.0,270.0,top
TP64,90.0,-128.0,270.0,top
TP65,90.0,-122.0,270.0,top
TP66,90.0,-118.0,270.0,top
TP67,90.0,-112.0,270.0,top
TP68,90.0,-108.0,270.0,top
TP69,90.0,-102.0,270.0,top
TP7,128.0,-30.0,0.0,top
TP70,90.0,-98.0,270.0,top
TP71,90.0,-92.0,270.0,top
TP72,90.0,-88.0,270.0,top
TP73,90.0,-82.0,270.0,top
TP74,90.0,-78.0,270.0,top
TP75,90.0,-72.0,270.0,top
TP76,90.0,-68.0,270.0,top
TP77,90.0,-62.0,270.0,top
TP78,90.0,-58.0,270.0,top
TP79,90.0,-52.0,270.0,top
TP8,132.0,-30.0,0.0,top
TP80,90.0,-48.0,270.0,top
TP9,138.0,-30.0,0.0,top
